№,Секунда ,Микросекунда
1,5,520752
2,5,531755
3,5,542841
4,5,553099
5,5,563321
6,5,573906
7,5,584162
8,5,595127
9,5,606199
10,5,616387
11,5,626682
12,5,637417
13,5,647648
14,5,657876
15,5,668106
16,5,678334
17,5,688566
18,5,698796
19,5,709028
20,5,719257
21,5,729440
22,5,739667
23,5,749897
24,5,760120
25,5,770351
26,5,780577
27,5,790804
28,5,801031
29,5,811261
30,5,821488
31,5,831720
32,5,841951
33,5,852179
34,5,862409
35,5,872974
36,5,883232
37,5,893463
38,5,903690
39,5,914055
40,5,924281
41,5,934512
42,5,945583
43,5,955809
44,5,966018
45,5,977019
46,5,987164
47,5,997403
48,6,7596
49,6,17823
50,6,28050
51,6,38276
52,6,48502
53,6,58731
54,6,68953
55,6,79179
56,6,89405
57,6,99643
58,6,109870
59,6,120206
60,6,131193
61,6,142186
62,6,153181
63,6,164173
64,6,175164
65,6,186210
66,6,197164
67,6,208174
68,6,218319
69,6,228771
70,6,239331
71,6,250342
72,6,261399
73,6,272390
74,6,283253
75,6,293421
76,6,304489
77,6,315470
78,6,326660
79,6,336893
80,6,347122
81,6,357419
82,6,367646
83,6,377872
84,6,388111
85,6,398338
86,6,408565
87,6,418787
88,6,429013
89,6,439230
90,6,449457
91,6,459685
92,6,469912
93,6,480935
94,6,491929
95,6,502812
96,6,513022
97,6,523270
98,6,534332
99,6,544565
100,6,555492
101,6,566106
102,6,576289
103,6,586476
104,6,596714
105,6,606941
106,6,618017
107,6,628997
108,6,639981
109,6,650974
110,6,661966
111,6,672959
112,6,683956
113,6,695947
114,6,706939
115,6,717934
116,6,728925
117,6,739919
118,6,750911
119,6,761905
120,6,772899
121,6,783891
122,6,794884
123,6,805877
124,6,816871
125,6,827865
126,6,838858
127,6,849851
128,6,860843
129,6,871835
130,6,882831
131,6,893824
132,6,904816
133,6,914916
134,6,925781
135,6,936772
136,6,947764
137,6,958760
138,6,968840
139,6,978992
140,6,989779
141,6,999896
142,7,10822
143,7,21016
144,7,31224
145,7,41381
146,7,52471
147,7,62702
148,7,73863
149,7,84665
150,7,94897
151,7,105124
152,7,115414
153,7,125644
154,7,135827
155,7,146059
156,7,156288
157,7,166515
158,7,176731
159,7,186987
160,7,197233
161,7,207446
162,7,217703
163,7,228342
164,7,239332
165,7,250325
166,7,261318
167,7,272312
168,7,283306
169,7,293477
170,7,303731
171,7,313972
172,7,324155
173,7,334379
174,7,344571
175,7,354762
176,7,364983
177,7,375197
178,7,385464
179,7,396457
180,7,406682
181,7,417188
182,7,427429
183,7,437660
184,7,447887
185,7,458161
186,7,468389
187,7,478617
188,7,488850
189,7,499078
190,7,509305
191,7,519535
192,7,529722
193,7,540814
194,7,551036
195,7,561214
196,7,571440
197,7,581615
198,7,591794
199,7,602028
200,7,612259
201,7,622506
202,7,632739
203,7,643817
204,7,654011
205,7,664236
206,7,674411
207,7,684639
208,7,694870
209,7,705100
210,7,715327
211,7,725558
212,7,735784
213,7,746011
214,7,756245
215,7,766821
216,7,777046
217,7,787277
218,7,797503
219,7,807730
220,7,817961
221,7,828189
222,7,838446
223,7,848677
224,7,858905
225,7,869132
226,7,879359
227,7,889585
228,7,899811
229,7,910043
230,7,920274
231,7,930469
232,7,940693
233,7,950890
234,7,961106
235,7,971286
236,7,981516
237,7,991755
238,8,1947
239,8,12134
240,8,22365
241,8,32590
242,8,42816
243,8,53046
244,8,63273
245,8,74209
246,8,84437
247,8,94662
248,8,104937
249,8,115147
250,8,125336
251,8,135564
252,8,145795
253,8,156022
254,8,166533
255,8,176758
256,8,186989
257,8,197256
258,8,208249
259,8,218570
260,8,228755
261,8,238933
262,8,249096
263,8,260042
264,8,270300
265,8,281070
266,8,292077
267,8,302301
268,8,313067
269,8,324066
270,8,335050
271,8,346044
272,8,357039
273,8,367555
274,8,378561
275,8,389580
276,8,399728
277,8,409959
278,8,420183
279,8,430397
280,8,441077
281,8,451291
282,8,461577
283,8,471862
284,8,482065
285,8,493095
286,8,503351
287,8,513549
288,8,524431
289,8,534630
290,8,544860
291,8,555601
292,8,566709
293,8,576877
294,8,588015
295,8,598209
296,8,608465
297,8,619036
298,8,630070
299,8,641078
300,8,651348
